transaction_id,spend_description,vendor,source_type,predicted_L1,predicted_L2,predicted_L3,predicted_L4,predicted_full_path,confidence,final_score,margin,decision_mode,actual_L1,actual_L2,actual_L3,actual_L4,actual_full_path,validation_status,reviewer_comment,final_ground_truth_L1,final_ground_truth_L2,final_ground_truth_L3,final_ground_truth_L4,final_full_path
1,"Microsoft 365 E3 – annual renewal, 800 seats",Microsoft,Vendor invoice / PO,IT & Technology,Software,Productivity & Collaboration,Office Suites,IT & Technology > Software > Productivity & Collaboration > Office Suites,HIGH,0.289,0.0975,DETERMINISTIC_RULE,IT & Technology,Software,Productivity & Collaboration,Office Suites,IT & Technology > Software > Productivity & Collaboration > Office Suites,APPROVED,Domain validation: confirmed Office Suites correctly matches spend description.,IT & Technology,Software,Productivity & Collaboration,Office Suites,IT & Technology > Software > Productivity & Collaboration > Office Suites
2,"Microsoft 365 E3 – annual renewal, 800 seats",Microsoft,Vendor invoice / PO,IT & Technology,Software,Productivity & Collaboration,Office Suites,IT & Technology > Software > Productivity & Collaboration > Office Suites,HIGH,0.289,0.0975,DETERMINISTIC_RULE,IT & Technology,Software,Productivity & Collaboration,Office Suites,IT & Technology > Software > Productivity & Collaboration > Office Suites,APPROVED,Domain validation: confirmed Office Suites correctly matches spend description.,IT & Technology,Software,Productivity & Collaboration,Office Suites,IT & Technology > Software > Productivity & Collaboration > Office Suites
3,"Dell Latitude 5540 – 120-unit refresh, 3yr warranty",Dell Technologies,Vendor invoice / PO,IT & Technology,End User Compute,Laptops & Desktops,Laptops,IT & Technology > End User Compute > Laptops & Desktops > Laptops,HIGH,0.262,0.0998,DETERMINISTIC_RULE,IT & Technology,End User Compute,Laptops & Desktops,Laptops,IT & Technology > End User Compute > Laptops & Desktops > Laptops,APPROVED,Domain validation: confirmed Laptops correctly matches spend description.,IT & Technology,End User Compute,Laptops & Desktops,Laptops,IT & Technology > End User Compute > Laptops & Desktops > Laptops
4,"Okta Identity Cloud – 2,000-user SSO, annual SaaS",Okta,Vendor invoice / PO,IT & Technology,Cloud & SaaS,IaaS,Cloud Compute,IT & Technology > Cloud & SaaS > IaaS > Cloud Compute,MEDIUM,0.437,0.0283,HYBRID_RERANKING,IT & Technology,Cloud & SaaS,SaaS,General SaaS Subscriptions,IT & Technology > Cloud & SaaS > SaaS > General SaaS Subscriptions,CORRECTED,"Okta Identity Cloud is enterprise IAM SaaS, best classified under General SaaS Subscriptions rather than IaaS Cloud Compute.",IT & Technology,Cloud & SaaS,SaaS,General SaaS Subscriptions,IT & Technology > Cloud & SaaS > SaaS > General SaaS Subscriptions
5,Zoom Enterprise – 500-seat annual licence,Zoom,Vendor invoice / PO,IT & Technology,Software,Productivity & Collaboration,Video Conferencing,IT & Technology > Software > Productivity & Collaboration > Video Conferencing,HIGH,0.2463,0.0603,DETERMINISTIC_RULE,IT & Technology,Software,Productivity & Collaboration,Video Conferencing,IT & Technology > Software > Productivity & Collaboration > Video Conferencing,APPROVED,Domain validation: confirmed Video Conferencing correctly matches spend description.,IT & Technology,Software,Productivity & Collaboration,Video Conferencing,IT & Technology > Software > Productivity & Collaboration > Video Conferencing
6,"CrowdStrike Falcon – 1,200 endpoint licence, annual SaaS",CrowdStrike,Vendor invoice / PO,IT & Technology,Software,Security Software,Endpoint Security,IT & Technology > Software > Security Software > Endpoint Security,HIGH,0.3414,0.0406,DETERMINISTIC_RULE,IT & Technology,Software,Security Software,Endpoint Security,IT & Technology > Software > Security Software > Endpoint Security,APPROVED,Domain validation: confirmed Endpoint Security correctly matches spend description.,IT & Technology,Software,Security Software,Endpoint Security,IT & Technology > Software > Security Software > Endpoint Security
7,Cisco Meraki MS350 switches – 40-unit network refresh,Cisco Meraki,Vendor invoice / PO,IT & Technology,Network & Infrastructure,Hardware,Network Switches & Routers,IT & Technology > Network & Infrastructure > Hardware > Network Switches & Routers,HIGH,0.3925,0.2532,DETERMINISTIC_RULE,IT & Technology,Network & Infrastructure,Hardware,Network Switches & Routers,IT & Technology > Network & Infrastructure > Hardware > Network Switches & Routers,APPROVED,Domain validation: confirmed Network Switches & Routers correctly matches spend description.,IT & Technology,Network & Infrastructure,Hardware,Network Switches & Routers,IT & Technology > Network & Infrastructure > Hardware > Network Switches & Routers
8,"GitHub Enterprise – 60-seat developer licence, annual SaaS",GitHub / Microsoft,Vendor invoice / PO,IT & Technology,Cloud & SaaS,SaaS,General SaaS Subscriptions,IT & Technology > Cloud & SaaS > SaaS > General SaaS Subscriptions,LOW,0.3365,0.0105,HUMAN_REVIEW,IT & Technology,Cloud & SaaS,SaaS,General SaaS Subscriptions,IT & Technology > Cloud & SaaS > SaaS > General SaaS Subscriptions,APPROVED,"GitHub Enterprise is developer platform SaaS, correctly classified under General SaaS Subscriptions.",IT & Technology,Cloud & SaaS,SaaS,General SaaS Subscriptions,IT & Technology > Cloud & SaaS > SaaS > General SaaS Subscriptions
9,"AWS Reserved Instances – 3yr, 400 vCores (eu-west-1)",Amazon Web Services,Service contract / PO,IT & Technology,Cloud & SaaS,IaaS,Cloud Compute,IT & Technology > Cloud & SaaS > IaaS > Cloud Compute,HIGH,0.2714,0.0404,DETERMINISTIC_RULE,IT & Technology,Cloud & SaaS,IaaS,Cloud Compute,IT & Technology > Cloud & SaaS > IaaS > Cloud Compute,APPROVED,Domain validation: confirmed Cloud Compute correctly matches spend description.,IT & Technology,Cloud & SaaS,IaaS,Cloud Compute,IT & Technology > Cloud & SaaS > IaaS > Cloud Compute
10,"Snowflake Data Cloud – compute credits + storage, quarterly usage",Snowflake,Service contract / PO,IT & Technology,Software,Data & Analytics,Data Warehousing Platforms,IT & Technology > Software > Data & Analytics > Data Warehousing Platforms,HIGH,0.4075,0.0629,HYBRID_RERANKING,IT & Technology,Software,Data & Analytics,Data Warehousing Platforms,IT & Technology > Software > Data & Analytics > Data Warehousing Platforms,APPROVED,Domain validation: confirmed Data Warehousing Platforms correctly matches spend description.,IT & Technology,Software,Data & Analytics,Data Warehousing Platforms,IT & Technology > Software > Data & Analytics > Data Warehousing Platforms
