L1,L2,L3,L4,full_path,boundary_note
IT & Technology,End User Compute,Laptops & Desktops,Laptops,IT & Technology > End User Compute > Laptops & Desktops > Laptops,Hardware capex. If IT manage: End User Compute. If operations: MRO.
IT & Technology,End User Compute,Laptops & Desktops,Desktop PCs,IT & Technology > End User Compute > Laptops & Desktops > Desktop PCs,
IT & Technology,End User Compute,Mobile Devices,Smartphones,IT & Technology > End User Compute > Mobile Devices > Smartphones,
IT & Technology,End User Compute,Mobile Devices,Tablets,IT & Technology > End User Compute > Mobile Devices > Tablets,
IT & Technology,End User Compute,Peripherals,Monitors & Displays,IT & Technology > End User Compute > Peripherals > Monitors & Displays,
IT & Technology,End User Compute,Peripherals,Printers & Scanners,IT & Technology > End User Compute > Peripherals > Printers & Scanners,
IT & Technology,Software,Business Applications,ERP Systems,IT & Technology > Software > Business Applications > ERP Systems,
IT & Technology,Software,Business Applications,CRM Systems,IT & Technology > Software > Business Applications > CRM Systems,
IT & Technology,Software,Business Applications,Procurement & ITSM Software,IT & Technology > Software > Business Applications > Procurement & ITSM Software,
IT & Technology,Software,Business Applications,HR Information Systems,IT & Technology > Software > Business Applications > HR Information Systems,
IT & Technology,Software,Productivity & Collaboration,Office Suites,IT & Technology > Software > Productivity & Collaboration > Office Suites,
IT & Technology,Software,Productivity & Collaboration,Messaging & Comms Platforms,IT & Technology > Software > Productivity & Collaboration > Messaging & Comms Platforms,
IT & Technology,Software,Productivity & Collaboration,Video Conferencing,IT & Technology > Software > Productivity & Collaboration > Video Conferencing,
IT & Technology,Software,Security Software,Endpoint Security,IT & Technology > Software > Security Software > Endpoint Security,
IT & Technology,Software,Security Software,Identity & Access Management,IT & Technology > Software > Security Software > Identity & Access Management,IAM/SSO. Cybersecurity sub-category.
IT & Technology,Software,Security Software,SIEM & Threat Intelligence,IT & Technology > Software > Security Software > SIEM & Threat Intelligence,
IT & Technology,Software,Infrastructure Software,Operating Systems,IT & Technology > Software > Infrastructure Software > Operating Systems,
IT & Technology,Software,Infrastructure Software,Database Software,IT & Technology > Software > Infrastructure Software > Database Software,
IT & Technology,Software,Data & Analytics,Business Intelligence Tools,IT & Technology > Software > Data & Analytics > Business Intelligence Tools,
IT & Technology,Software,Data & Analytics,Data Warehousing Platforms,IT & Technology > Software > Data & Analytics > Data Warehousing Platforms,"Cloud data warehouse (Snowflake, BigQuery). Not generic SaaS."
IT & Technology,Software,Data & Analytics,AI & Machine Learning Platforms,IT & Technology > Software > Data & Analytics > AI & Machine Learning Platforms,ML/AI SaaS tools. Boundary with IT Consulting if advisory bundled.
IT & Technology,Cloud & SaaS,IaaS,Cloud Compute,IT & Technology > Cloud & SaaS > IaaS > Cloud Compute,IaaS. Distinguish from SaaS (application licences) and PaaS.
IT & Technology,Cloud & SaaS,IaaS,Cloud Storage,IT & Technology > Cloud & SaaS > IaaS > Cloud Storage,
